time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 13,label
0.967831,-0.0712,-0.1147,1.0193,-0.1385,-0.0755,0.6072,-0.0551,0.0701,0.0415,2.55,-42.9375,-11.85,,adl
0.982228,-0.0712,-0.1147,1.0193,-0.0009,-0.0237,0.591,-0.0551,0.0701,0.0415,2.55,-42.9375,-11.85,,adl
0.991298,-0.0497,-0.1155,1.0484,-0.0009,-0.0237,0.591,-0.0551,0.0701,0.0415,2.55,-42.9375,-11.85,,adl
1.000713,-0.0497,-0.1155,1.0484,-0.0009,-0.0237,0.591,0.1452,0.0604,0.088,2.55,-42.9375,-11.85,,adl
1.004114,-0.0497,-0.1155,1.0484,0.1553,-0.0246,0.4028,0.1452,0.0604,0.088,2.55,-42.9375,-11.85,,adl
1.020261,-0.0497,-0.1155,1.0484,0.2024,0.001,0.0446,0.1452,0.0604,0.088,2.55,-42.9375,-11.85,,adl
1.023019,-0.0497,-0.1155,1.0484,0.2024,0.001,0.0446,0.1452,0.0604,0.088,2.2688,-43.35,-11.4188,,adl
1.039569,-0.0411,-0.0961,0.9589,0.2024,0.001,0.0446,0.1452,0.0604,0.088,2.2688,-43.35,-11.4188,,adl
1.04341,-0.0411,-0.0961,0.9589,0.1529,0.0689,-0.3338,0.1452,0.0604,0.088,2.2688,-43.35,-11.4188,,adl
1.058353,-0.0411,-0.0961,0.9589,0.1422,0.1191,-0.4699,0.1452,0.0604,0.088,2.2688,-43.35,-11.4188,,adl
1.062127,-0.0411,-0.0961,0.9589,0.1422,0.1191,-0.4699,0.1012,-0.1401,0.0232,2.2688,-43.35,-11.4188,,adl
1.07814,-0.0411,-0.0961,0.9589,0.2036,0.0746,-0.4606,0.1012,-0.1401,0.0232,2.2688,-43.35,-11.4188,,adl
1.083178,-0.0411,-0.0961,0.9589,0.2036,0.0746,-0.4606,0.1012,-0.1401,0.0232,2.0625,-42.8438,-11.5125,,adl
1.086088,-0.0248,-0.092,0.958,0.2036,0.0746,-0.4606,0.1012,-0.1401,0.0232,2.0625,-42.8438,-11.5125,,adl
1.096681,-0.0248,-0.092,0.958,0.2783,0.0594,-0.2871,0.1012,-0.1401,0.0232,2.0625,-42.8438,-11.5125,,adl
1.118646,-0.0248,-0.092,0.958,0.3062,0.0939,-0.2974,0.1012,-0.1401,0.0232,2.0625,-42.8438,-11.5125,,adl
1.124948,-0.0248,-0.092,0.958,0.3062,0.0939,-0.2974,-0.0186,-0.0399,-0.0073,2.0625,-42.8438,-11.5125,,adl
1.134184,-0.0213,-0.0857,0.9709,0.3062,0.0939,-0.2974,-0.0186,-0.0399,-0.0073,2.0625,-42.8438,-11.5125,,adl
1.135918,-0.0213,-0.0857,0.9709,0.267,0.121,-0.2259,-0.0186,-0.0399,-0.0073,2.0625,-42.8438,-11.5125,,adl
1.143307,-0.0213,-0.0857,0.9709,0.267,0.121,-0.2259,-0.0186,-0.0399,-0.0073,2.25,-42.975,-11.325,,adl
1.154364,-0.0213,-0.0857,0.9709,0.2417,0.0768,-0.0294,-0.0186,-0.0399,-0.0073,2.25,-42.975,-11.325,,adl
1.173413,-0.0213,-0.0857,0.9709,0.1524,0.0517,0.0738,-0.0186,-0.0399,-0.0073,2.25,-42.975,-11.325,,adl
1.18264,-0.0345,-0.0977,0.9975,0.1524,0.0517,0.0738,-0.0186,-0.0399,-0.0073,2.25,-42.975,-11.325,,adl
1.189492,-0.0345,-0.0977,0.9975,0.1524,0.0517,0.0738,-0.0319,0.0004,-0.0513,2.25,-42.975,-11.325,,adl
